scenario_name,domain_name,n,r2,adj_r2,coef_intercept,coef_ri_100_z,coef_harshness_proxy_z,coef_seat_response_proxy_z,winning_domain,winning_adj_r2,winner_margin_vs_second
baseline,structure_intrusion_score,395.0,0.045222195163008405,0.03789653425633066,0.10190032378168414,-0.042510053072436216,0.055804604146659574,0.16246626753932308,lower_extremity_score,0.08773143227623315,0.049834898019902485
baseline,lower_extremity_score,396.0,0.09466005430957825,0.08773143227623315,0.20435112319022603,-0.03882443062072269,0.1704407085798351,0.19767410004563715,lower_extremity_score,0.08773143227623315,0.049834898019902485
baseline,restraint_kinematics_score,367.0,0.019175689512743177,0.011069703475658388,0.04471396786284785,-0.043380650446128,-0.020116505036590054,0.1080726587289634,lower_extremity_score,0.08773143227623315,0.049834898019902485
baseline,head_neck_chest_score,397.0,0.026814728434751522,0.019385833231963412,0.18476230538402677,0.015464228199291871,0.08612507246347262,0.06586869594762987,lower_extremity_score,0.08773143227623315,0.049834898019902485
structure_intrusion_only,structure_intrusion_score,316.0,0.02513238766407422,0.015758660622382514,0.266149123977949,-0.05046763126842896,0.03668704814370266,0.12378290096453615,lower_extremity_score,0.08773143227623315,0.06834559904426973
structure_intrusion_only,lower_extremity_score,396.0,0.09466005430957825,0.08773143227623315,0.20435112319022603,-0.03882443062072269,0.1704407085798351,0.19767410004563715,lower_extremity_score,0.08773143227623315,0.06834559904426973
structure_intrusion_only,restraint_kinematics_score,367.0,0.019175689512743177,0.011069703475658388,0.04471396786284785,-0.043380650446128,-0.020116505036590054,0.1080726587289634,lower_extremity_score,0.08773143227623315,0.06834559904426973
structure_intrusion_only,head_neck_chest_score,397.0,0.026814728434751522,0.019385833231963412,0.18476230538402677,0.015464228199291871,0.08612507246347262,0.06586869594762987,lower_extremity_score,0.08773143227623315,0.06834559904426973
structure_no_clearance,structure_intrusion_score,395.0,0.04193013763890585,0.03457921797884633,0.09745045673701991,-0.04326372563975965,0.052687530651450716,0.15032519040665926,lower_extremity_score,0.08773143227623315,0.05315221429738681
structure_no_clearance,lower_extremity_score,396.0,0.09466005430957825,0.08773143227623315,0.20435112319022603,-0.03882443062072269,0.1704407085798351,0.19767410004563715,lower_extremity_score,0.08773143227623315,0.05315221429738681
structure_no_clearance,restraint_kinematics_score,367.0,0.019175689512743177,0.011069703475658388,0.04471396786284785,-0.043380650446128,-0.020116505036590054,0.1080726587289634,lower_extremity_score,0.08773143227623315,0.05315221429738681
structure_no_clearance,head_neck_chest_score,397.0,0.026814728434751522,0.019385833231963412,0.18476230538402677,0.015464228199291871,0.08612507246347262,0.06586869594762987,lower_extremity_score,0.08773143227623315,0.05315221429738681
lower_leg_foot_only,structure_intrusion_score,395.0,0.045222195163008405,0.03789653425633066,0.10190032378168414,-0.042510053072436216,0.055804604146659574,0.16246626753932308,lower_extremity_score,0.12563458162344943,0.08773804736711877
lower_leg_foot_only,lower_extremity_score,396.0,0.1322753316364358,0.12563458162344943,0.18401633233532758,-0.02931494125305434,0.22988684048274816,0.24423099102587972,lower_extremity_score,0.12563458162344943,0.08773804736711877
lower_leg_foot_only,restraint_kinematics_score,367.0,0.019175689512743177,0.011069703475658388,0.04471396786284785,-0.043380650446128,-0.020116505036590054,0.1080726587289634,lower_extremity_score,0.12563458162344943,0.08773804736711877
lower_leg_foot_only,head_neck_chest_score,397.0,0.026814728434751522,0.019385833231963412,0.18476230538402677,0.015464228199291871,0.08612507246347262,0.06586869594762987,lower_extremity_score,0.12563458162344943,0.08773804736711877
lower_foot_only,structure_intrusion_score,395.0,0.045222195163008405,0.03789653425633066,0.10190032378168414,-0.042510053072436216,0.055804604146659574,0.16246626753932308,lower_extremity_score,0.33659945722256013,0.29870292296622947
lower_foot_only,lower_extremity_score,349.0,0.3423184274189174,0.33659945722256013,0.047276336081587156,-0.006213183013741075,0.19097414457795076,1.0172486042698816,lower_extremity_score,0.33659945722256013,0.29870292296622947
lower_foot_only,restraint_kinematics_score,367.0,0.019175689512743177,0.011069703475658388,0.04471396786284785,-0.043380650446128,-0.020116505036590054,0.1080726587289634,lower_extremity_score,0.33659945722256013,0.29870292296622947
lower_foot_only,head_neck_chest_score,397.0,0.026814728434751522,0.019385833231963412,0.18476230538402677,0.015464228199291871,0.08612507246347262,0.06586869594762987,lower_extremity_score,0.33659945722256013,0.29870292296622947
restraint_contact_only,structure_intrusion_score,395.0,0.045222195163008405,0.03789653425633066,0.10190032378168414,-0.042510053072436216,0.055804604146659574,0.16246626753932308,lower_extremity_score,0.08773143227623315,0.049834898019902485
restraint_contact_only,lower_extremity_score,396.0,0.09466005430957825,0.08773143227623315,0.20435112319022603,-0.03882443062072269,0.1704407085798351,0.19767410004563715,lower_extremity_score,0.08773143227623315,0.049834898019902485
restraint_contact_only,restraint_kinematics_score,302.0,0.0032050875818687707,-0.006829760529723172,0.11351712028113024,-0.04095823701801857,-0.022131860405248276,0.028456673919264777,lower_extremity_score,0.08773143227623315,0.049834898019902485
restraint_contact_only,head_neck_chest_score,397.0,0.026814728434751522,0.019385833231963412,0.18476230538402677,0.015464228199291871,0.08612507246347262,0.06586869594762987,lower_extremity_score,0.08773143227623315,0.049834898019902485
head_neck_core,structure_intrusion_score,395.0,0.045222195163008405,0.03789653425633066,0.10190032378168414,-0.042510053072436216,0.055804604146659574,0.16246626753932308,lower_extremity_score,0.08773143227623315,0.049834898019902485
head_neck_core,lower_extremity_score,396.0,0.09466005430957825,0.08773143227623315,0.20435112319022603,-0.03882443062072269,0.1704407085798351,0.19767410004563715,lower_extremity_score,0.08773143227623315,0.049834898019902485
head_neck_core,restraint_kinematics_score,367.0,0.019175689512743177,0.011069703475658388,0.04471396786284785,-0.043380650446128,-0.020116505036590054,0.1080726587289634,lower_extremity_score,0.08773143227623315,0.049834898019902485
head_neck_core,head_neck_chest_score,397.0,0.024938160539520027,0.017494940390966773,0.11752653529145674,0.03524340090430203,0.09997902971539935,0.04218876212369334,lower_extremity_score,0.08773143227623315,0.049834898019902485
